id,name,latitude,longitude
2711,장암,37.69984712,127.0527785
2712,도봉산,37.68923188,127.0461005
2713,수락산,37.67791554,127.0552343
2714,마들,37.66516233,127.0573337
2715,노원,37.65496036,127.0620053
2716,중계,37.64521691,127.0640831
2717,하계,37.63642687,127.0678149
2718,공릉,37.62551321,127.0728236
2719,태릉입구,37.61816533,127.0746937
2720,먹골,37.61073429,127.0775891
2721,중화,37.60251645,127.079253
2722,상봉,37.59608092,127.0853862
2723,면목,37.58852412,127.0874251
2724,사가정,37.58101455,127.0884688
2725,용마산,37.5736549,127.0865586
2726,중곡,37.56568111,127.0841504
2727,군자,37.55713392,127.079433
2728,어린이대공원,37.54780394,127.0745637
2729,건대입구,37.54060889,127.0698628
2730,뚝섬유원지,37.53125616,127.0666673
2731,청담,37.5195959,127.0537514
2732,강남구청,37.51714842,127.0411628
2733,학동,37.51428621,127.0317362
2734,논현,37.51118691,127.0212831
2735,반포,37.50820769,127.011532
2736,고속터미널,37.50436623,127.0045403
2737,내방,37.4875118,126.9932223
2738,이수,37.48658247,126.981745
2739,남성,37.48453469,126.9712351
2740,숭실대입구,37.4961804,126.9534722
2741,상도,37.50285237,126.9477417
2742,장승배기,37.50482108,126.9388623
2743,신대방삼거리,37.49968797,126.9280519
2744,보라매,37.49989004,126.9203052
2745,신풍,37.50008919,126.9098598
2746,대림,37.49307207,126.8959105
2747,남구로,37.48613283,126.8873355
2748,가산디지털단지,37.48121776,126.8825816
2749,철산,37.47611739,126.8680062
2750,광명사거리,37.47941898,126.8547278
2751,천왕,37.48661459,126.8386245
2752,온수,37.49215924,126.8237047
2753,까치울,37.50632983,126.8113309
2754,부천종합운동장,37.50544153,126.7972468
2755,춘의,37.50372821,126.7868467
2756,신중동,37.50308369,126.776328
2757,부천시청,37.50454132,126.7637332
2758,상동,37.50570416,126.7529908
2759,삼산체육관,37.50636043,126.7417749
2760,굴포천,37.50708334,126.7311071
2761,부평구청,37.50795782,126.7211284
2811,암사,37.54997529,127.1274183
2812,천호,37.53842355,127.1236234
2813,강동구청,37.53047081,127.1202691
2814,몽촌토성,37.51742473,127.1123921
2815,잠실,37.51386481,127.1024965
2816,석촌,37.50535113,127.1069303
2817,송파,37.4997227,127.1118647
2818,가락시장,37.49292332,127.1180741
2819,문정,37.4859849,127.1222272
2820,장지,37.47839756,127.1260529
2821,복정,37.47008981,127.1264714
2822,산성,37.45668074,127.1498131
2823,남한산성입구,37.45156254,127.1597963
2824,단대오거리,37.44512808,127.1566517
2825,신흥,37.44088706,127.1473884
2826,수진,37.43732537,127.1406475
2827,모란,37.43291644,127.1294298
4126,언주,37.50744596,127.0342849
4127,선정릉,37.51085355,127.043641
4128,삼성중앙,37.51288248,127.052705
4129,봉은사,37.51436096,127.0608922
4130,종합운동장,37.51096913,127.0733558
4131,삼전,37.50474464,127.0877814
4132,석촌고분,37.50202826,127.0966224
4133,석촌,37.50594926,127.1063458
4134,송파나루,37.51012026,127.1131234
4135,한성백제,37.51686537,127.118185
4136,올림픽공원,37.51608795,127.1306004
4137,둔촌오륜,37.51797547,127.1401702
4138,중앙보훈병원,37.52961418,127.142757
